unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,prtvgde1,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
DE_50562,DE,50562,1.0159696,1.0555799,2.9929698,3.1593187,75,2,3,12,2,1,1,7,1,3,4,1,7,2,5,10,10,5,5,10,10,8,7,7,7,8,8,9,6,2,2,1,5,4
DE_50585,DE,50585,0.9958686,4.342649,2.9929698,12.997417,37,2,5,17,77,1,1,5,6,2,6,1,2,2,4,8,9,8,8,9,7,9,7,5,7,6,6,7,5,2,2,3,8,8
DE_50587,DE,50587,0.9958686,0.13076591,2.9929698,0.39137843,87,1,7,18,5,3,1,2,6,3,4,1,3,1,3,3,3,2,3,4,2,2,2,7,6,5,7,7,5,2,2,2,7,5
DE_50627,DE,50627,0.9958686,2.2269514,2.9929698,6.665198,17,2,2,10,2,4,1,4,6,2,4,3,66,3,5,7,8,8,7,10,8,8,7,6,4,5,8,8,7,2,1,2,10,10
DE_50639,DE,50639,0.9958686,0.6197299,2.9929698,1.8548328,24,1,2,12,3,4,1,3,2,1,6,2,66,3,6,1,8,1,1,8,3,2,0,9,8,3,6,5,5,2,2,1,6,5
DE_50641,DE,50641,0.9958686,0.8206315,2.9929698,2.4561253,38,2,5,13,7,4,1,5,6,3,6,1,4,2,5,7,7,6,5,7,6,8,7,4,7,4,7,7,6,2,2,3,9,7
DE_50643,DE,50643,0.9958686,0.29818803,2.9929698,0.89246774,59,2,5,16,8,3,1,0,6,2,4,1,1,4,4,5,3,8,8,10,4,6,4,2,10,9,2,3,5,3,3,3,8,8
DE_50649,DE,50649,0.9958686,4.342649,2.9929698,12.997417,20,1,99,15,77,4,2,4,6,2,6,2,66,3,4,4,4,3,3,6,3,5,2,6,7,7,5,5,5,2,2,1,7,6
DE_50690,DE,50690,0.9958686,3.1918347,2.9929698,9.553064,18,2,2,13,5,4,1,7,6,1,7,3,66,4,4,88,88,2,2,7,3,4,1,5,6,5,5,4,5,2,2,2,8,8
DE_50723,DE,50723,0.9958686,0.7281602,2.9929698,2.1793613,33,2,6,18,3,4,2,9,2,1,7,3,66,4,5,3,3,0,0,4,0,5,88,5,8,7,8,5,5,2,2,1,10,10
DE_50745,DE,50745,0.9958686,4.342649,2.9929698,12.997417,26,2,99,88,77,3,1,8,6,2,4,8,66,3,5,3,5,2,1,7,3,2,2,7,6,6,7,7,7,2,2,2,6,6
DE_50762,DE,50762,0.9958686,4.011296,2.9929698,12.005687,41,1,2,13,2,3,1,0,1,4,7,2,66,3,5,0,5,3,5,10,3,5,3,8,8,5,5,5,3,3,3,2,6,7
DE_50813,DE,50813,0.99586856,0.9278058,2.9929698,2.7768946,39,2,3,17,9,4,1,8,6,2,5,1,88,3,6,4,8,3,4,10,5,8,4,7,7,6,3,5,5,3,2,4,9,9
DE_50833,DE,50833,0.9958686,0.80285877,2.9929698,2.402932,60,2,5,13,6,4,1,8,6,2,3,1,88,2,2,5,7,4,4,8,5,9,6,2,8,7,4,5,6,1,1,1,9,8
DE_50839,DE,50839,0.9958686,1.07508,2.9929698,3.2176821,22,2,3,13,9,4,1,10,6,4,5,2,66,3,5,4,5,3,3,3,3,3,5,4,6,4,5,4,4,3,3,4,8,8
DE_50856,DE,50856,0.9958687,0.6592424,2.9929698,1.9730926,90,1,5,9,2,3,2,8,6,2,1,3,66,4,5,5,5,4,4,8,5,2,5,3,5,3,0,3,2,3,3,3,9,8
DE_50857,DE,50857,0.9958686,2.2269514,2.9929698,6.665198,16,2,2,10,88,4,1,1,6,3,4,3,66,3,88,3,7,3,4,7,4,5,88,6,4,5,6,7,5,2,2,2,4,4
DE_50861,DE,50861,1.0195088,0.17173508,2.9929698,0.5139979,43,1,6,17,10,1,1,0,6,3,6,1,1,2,5,9,10,6,4,10,7,8,5,7,8,4,8,8,5,1,1,2,9,9
DE_50882,DE,50882,1.0267323,0.26030093,2.9929698,0.7790728,53,2,7,18,10,2,1,0,6,2,4,1,2,1,7,2,8,1,1,8,0,1,0,5,6,3,5,8,2,3,3,4,10,9
DE_50900,DE,50900,0.9958686,0.1779264,2.9929698,0.53252834,24,1,6,15,6,1,1,2,6,2,6,1,2,1,4,10,10,7,5,8,9,8,6,6,7,6,10,9,9,1,1,2,10,10
DE_50925,DE,50925,0.9958686,0.57832,2.9929698,1.7308943,30,1,7,18,10,4,1,1,6,2,5,1,5,2,6,8,8,7,7,7,8,6,4,7,7,6,7,9,6,2,2,3,8,9
DE_50949,DE,50949,0.9958686,0.21178956,2.9929698,0.6338798,73,2,3,12,8,4,1,7,2,2,2,1,1,2,3,5,8,8,4,8,5,8,7,5,10,4,8,8,8,1,1,2,8,10
DE_50973,DE,50973,0.9958686,1.146574,2.9929698,3.4316614,82,1,3,11,10,2,1,3,6,4,4,1,4,1,8,7,9,2,2,9,4,8,2,0,3,3,9,9,5,2,1,2,9,8
DE_50974,DE,50974,0.9958686,1.8135083,2.9929698,5.4277754,16,1,2,6,2,3,2,8,6,2,6,3,66,2,8,5,6,6,5,8,4,7,6,4,3,7,9,10,10,1,1,2,6,6
DE_50982,DE,50982,0.9958686,0.21178956,2.9929698,0.6338798,63,2,3,13,6,3,1,2,6,2,6,1,4,2,4,4,5,4,4,8,3,6,4,7,6,6,5,8,8,2,2,3,9,9
DE_50998,DE,50998,0.9958686,0.23618698,2.9929698,0.7069005,40,1,7,20,7,3,1,3,6,2,6,1,2,2,5,7,7,5,5,6,5,7,3,6,8,5,7,5,5,2,2,4,7,7
DE_50999,DE,50999,0.9958686,0.7281602,2.9929698,2.1793613,29,2,6,16,10,2,1,6,6,1,6,1,1,4,5,8,9,4,3,7,7,9,7,1,0,5,6,3,5,2,2,3,10,10
DE_51003,DE,51003,1.0276766,0.16775727,2.9929698,0.5020924,48,1,7,17,10,2,1,0,6,1,2,1,9,1,2,3,6,3,3,4,3,3,0,7,7,7,5,9,5,2,2,1,6,6
DE_51010,DE,51010,0.9958686,0.8206315,2.9929698,2.4561253,40,2,7,19,77,5,1,3,6,1,5,1,4,3,4,8,8,5,7,7,8,8,6,5,7,4,7,7,5,3,3,2,8,9
DE_51022,DE,51022,0.9958686,0.20984815,2.9929698,0.62806916,28,2,7,18,8,3,1,0,6,1,5,1,88,2,4,8,9,8,6,9,8,9,7,7,7,8,9,9,8,1,1,2,8,8
DE_51031,DE,51031,0.9958686,0.2591892,2.9929698,0.7757454,68,1,5,15,10,4,1,0,6,2,5,1,4,2,6,10,10,7,5,10,5,9,9,8,8,8,10,10,9,1,2,3,9,9
DE_51049,DE,51049,0.9958687,0.39558077,2.9929698,1.1839613,55,2,7,19,8,2,1,5,1,3,6,1,2,2,3,7,9,6,7,8,5,7,6,6,7,7,8,8,8,2,2,2,8,7
DE_51060,DE,51060,1.0267323,0.81455606,2.9929698,2.4379416,16,1,2,10,88,1,1,8,6,1,7,3,66,4,88,5,5,4,5,7,6,5,5,8,7,5,5,7,6,1,1,1,8,8
DE_51118,DE,51118,0.9958686,0.2591892,2.9929698,0.7757454,89,1,3,11,3,4,1,10,6,2,6,1,2,2,4,5,8,6,6,8,5,8,6,7,7,7,8,8,7,2,2,2,10,10
DE_51165,DE,51165,0.9958686,0.98262167,2.9929698,2.9409568,23,1,4,17,1,1,1,0,6,3,7,1,2,3,3,6,8,5,5,6,6,8,5,5,7,6,7,7,6,1,1,3,6,5
DE_51168,DE,51168,1.0216119,0.9108283,2.9929698,2.7260816,64,1,7,20,8,1,1,6,6,3,4,1,2,1,3,9,9,6,5,8,5,6,5,6,7,7,7,7,7,2,2,3,7,8
