unique_id,cntry,idno,dweight,pspwght,pweight,anweight,agea,gndr,eisced,eduyrs,hinctnta,domicil,brncntr,rlgdgr,uemp12m,health,sclmeet,vote,polintr,lrscale,trstprl,trstlgl,trstplt,trstprt,trstplc,trstep,stfdem,stfgov,ppltrst,pplfair,pplhlp,imbgeco,imueclt,imwbcnt,imdfetn,impcntr,gincdif,happy,stflife
PL_91087,PL,91087,1.1031045,1.2835908,2.155714,2.7670548,64,1,5,14,1,3,1,5,1,3,2,2,3,5,0,0,0,0,0,0,5,4,6,5,4,4,3,2,2,1,2,5,5
PL_96505,PL,96505,1.0123581,1.1674367,2.155714,2.5166597,53,1,7,18,8,2,1,0,2,2,7,1,2,2,1,5,0,0,2,4,2,9,8,5,3,5,10,5,1,2,5,10,10
PL_56337,PL,56337,1.1772765,1.0643054,2.155714,2.2943382,68,2,2,8,1,3,1,8,6,4,4,1,4,4,5,2,5,0,6,1,5,4,4,4,3,8,7,7,3,3,4,10,8
PL_60606,PL,60606,1.0391849,1.0090522,2.155714,2.1752279,50,1,4,13,8,3,1,8,6,1,1,1,2,0,0,2,0,0,0,0,0,5,0,2,0,0,5,0,4,4,2,10,8
PL_88617,PL,88617,0.94154704,0.628077,2.155714,1.3539543,30,1,4,13,77,3,1,1,6,1,2,7,3,88,0,0,0,0,0,1,4,5,0,0,0,7,7,7,4,3,3,9,9
PL_55149,PL,55149,0.9164379,0.4103783,2.155714,0.8846583,47,2,2,11,77,1,1,6,2,2,4,2,4,88,2,5,1,1,7,6,5,5,0,4,1,88,88,5,3,3,2,7,88
PL_73353,PL,73353,0.92361283,1.1617727,2.155714,2.5044498,83,2,7,22,8,2,1,10,6,2,6,1,2,10,3,4,88,5,7,0,9,88,9,9,88,3,4,6,2,3,3,9,10
PL_79306,PL,79306,0.8610039,0.67560655,2.155714,1.4564146,50,2,7,18,8,3,1,5,6,2,3,1,3,0,1,3,1,1,5,0,2,2,3,4,4,5,6,5,2,2,1,7,7
PL_86418,PL,86418,1.1772765,0.78532475,2.155714,1.6929356,23,1,3,12,4,3,1,1,2,2,2,1,3,8,4,5,2,2,5,3,4,3,5,7,5,4,4,4,4,3,3,6,6
PL_51603,PL,51603,1.0086218,1.1731367,2.155714,2.5289474,84,1,4,12,8,3,1,5,6,3,2,2,2,4,3,4,0,0,5,0,4,5,4,5,6,4,5,4,4,3,2,6,7
PL_81185,PL,81185,1.0583671,0.9576822,2.155714,2.064489,34,1,3,12,9,4,1,5,2,1,4,2,3,2,0,0,0,0,9,9,5,1,2,4,2,5,88,88,3,3,1,9,8
PL_59209,PL,59209,1.0531778,1.0562408,2.155714,2.2769532,55,2,2,11,88,4,1,8,6,3,2,1,2,10,10,8,8,9,7,8,7,9,0,2,10,1,2,2,4,3,1,5,7
PL_91004,PL,91004,1.0813186,0.6038373,2.155714,1.3017006,43,2,7,18,6,4,1,7,8,3,2,1,2,5,2,2,2,1,4,2,3,5,3,4,4,7,4,3,3,2,2,88,88
